Q_Value,State,Action
29.31471637664163,"easy, 1, 0",ask_easy
29.17317624286875,"easy, 0, 0",ask_easy
25.802254538165027,"easy, 2, 0",ask_easy
25.23123588238993,"medium, 4, 0",ask_medium
22.961115320644524,"easy, 4, 0",ask_medium
21.195405708081868,"easy, 1, 1",ask_easy
21.058844671643396,"medium, 4, 1",ask_medium
18.554240914288624,"easy, 2, 1",ask_easy
18.098292410064353,"easy, 4, 1",ask_medium
17.583926875504545,"easy, 0, 1",ask_easy
14.274875174916794,"easy, 4, 2",ask_hard
12.099942546840118,"medium, 5, 1",ask_hard
11.977498584364394,"medium, 4, 0",ask_hard
11.220149582389677,"hard, 5, 0",end_game
6.285233108044345,"easy, 5, 1",ask_hard
4.268020113937812,"medium, 4, 1",ask_hard
4.074775641652146,"hard, 6, 1",end_game
3.411088787953469,"hard, 5, 1",ask_medium
3.007589056706327,"hard, 6, 0",end_game
1.6578985479321862,"easy, 1, 2",ask_easy
-0.47884544338328805,"easy, 3, 0",ask_easy
-2.725592034567777,"hard, 5, 1",end_game
-3.3558549602895615,"easy, 3, 1",ask_easy
-4.025295907778265,"easy, 0, 2",ask_easy
-5.44452484539052,"easy, 3, 0",ask_medium
-6.746055260320637,"easy, 4, 1",ask_hard
-7.549048507563995,"hard, 5, 0",ask_hard
-8.4769500170834,"easy, 0, 0",ask_medium
-9.174589065523765,"easy, 4, 0",ask_hard
-9.355338085727857,"easy, 0, 0",end_game
-10.027439630213006,"easy, 1, 0",end_game
-10.046107234446678,"easy, 1, 0",ask_hard
-10.270562477222938,"easy, 0, 0",ask_hard
-10.86045436561244,"easy, 1, 0",ask_medium
-10.954627210489356,"easy, 3, 1",ask_medium
-11.406439619826775,"easy, 2, 2",ask_easy
-11.968488973332416,"easy, 3, 0",end_game
-12.383816343315612,"hard, 5, 2",end_game
-12.645796671987942,"medium, 5, 0",ask_hard
-12.669865653521201,"easy, 2, 0",ask_medium
-12.812224069345366,"easy, 0, 1",end_game
-13.843403431003722,"medium, 4, 0",ask_easy
-14.095497447344128,"easy, 5, 1",ask_medium
-14.254863505871889,"medium, 4, 2",ask_medium
-14.406979382469952,"easy, 1, 1",ask_medium
-14.566791543813913,"easy, 1, 1",end_game
-14.817471381905719,"hard, 5, 0",ask_medium
-15.18141597983167,"easy, 2, 0",end_game
-15.41392030119211,"medium, 4, 2",ask_hard
-16.269530092950173,"easy, 0, 1",ask_medium
-16.99905815601101,"easy, 4, 2",ask_medium
-17.09251394075274,"easy, 2, 1",ask_medium
-17.362566653113742,"easy, 3, 0",ask_hard
-17.38291706128281,"easy, 2, 1",end_game
-17.585401191539958,"easy, 2, 0",ask_hard
-17.797676105272423,"easy, 4, 0",end_game
-18.024683752803867,"easy, 0, 2",end_game
-18.07841318606789,"easy, 1, 1",ask_hard
-18.62255177599371,"easy, 3, 2",ask_medium
-18.625584583976234,"hard, 5, 1",ask_hard
-18.63924471816631,"hard, 5, 0",ask_easy
-19.022198079908293,"easy, 1, 2",end_game
-19.315815834525907,"medium, 4, 1",ask_easy
-19.347369505269185,"easy, 3, 1",ask_hard
-19.372745090778537,"medium, 4, 0",end_game
-19.456775770761936,"easy, 4, 1",ask_easy
-19.692687282192512,"hard, 6, 0",ask_medium
-19.974548039154698,"easy, 4, 0",ask_easy
-19.999999999999993,"hard, 6, 2",ask_easy
-19.999999999999993,"medium, 6, 2",ask_hard
-19.999999999999993,"hard, 6, 2",end_game
-19.999999999999993,"easy, 6, 2",ask_hard
-19.999999999999993,"hard, 6, 2",ask_hard
-19.999999999999993,"easy, 6, 2",end_game
-19.999999999999993,"hard, 6, 2",ask_medium
-19.999999999999993,"easy, 6, 2",ask_easy
-19.999999999999993,"medium, 6, 2",ask_medium
-19.999999999999993,"easy, 6, 2",ask_medium
-19.999999999999993,"medium, 6, 2",ask_easy
-19.999999999999993,"medium, 6, 2",end_game
-20.065881072477495,"hard, 6, 0",ask_hard
-20.070687934769026,"medium, 6, 1",ask_easy
-20.15060093491114,"easy, 2, 2",ask_hard
-20.20119743640099,"easy, 2, 2",ask_medium
-20.226527687649497,"medium, 4, 1",end_game
-20.260980594665604,"easy, 3, 1",end_game
-20.34538171612304,"medium, 4, 2",end_game
-20.437507771925823,"hard, 5, 1",ask_easy
-20.514052880701698,"hard, 6, 0",ask_easy
-20.892086654788514,"hard, 5, 2",ask_easy
-20.90202563683087,"hard, 6, 1",ask_easy
-20.947313878678823,"easy, 3, 2",ask_hard
-20.97792033445376,"easy, 0, 2",ask_medium
-21.02837400067594,"hard, 5, 2",ask_hard
-21.09975526633061,"easy, 3, 2",ask_easy
-21.23242409481505,"easy, 2, 2",end_game
-21.387269261725955,"medium, 6, 0",ask_medium
-21.69013060953399,"easy, 4, 1",end_game
-21.896161681893172,"easy, 0, 2",ask_hard
-21.975529645971868,"easy, 5, 0",ask_easy
-22.09949087526827,"easy, 1, 2",ask_hard
-22.114750535475274,"easy, 0, 1",ask_hard
-22.118146727870645,"easy, 1, 2",ask_medium
-22.457718109663514,"medium, 5, 0",ask_easy
-22.53577842984081,"easy, 3, 2",end_game
-22.590910881013002,"easy, 4, 2",ask_easy
-22.65556556479036,"easy, 6, 1",ask_hard
-23.146267619730935,"easy, 6, 0",ask_hard
-23.17950355794576,"hard, 5, 2",ask_medium
-23.315673206738154,"medium, 5, 0",end_game
-23.41222317377586,"easy, 6, 0",ask_easy
-23.820213089130068,"medium, 5, 1",ask_medium
-23.82567148316109,"easy, 2, 1",ask_hard
-24.03493818008149,"medium, 6, 1",end_game
-24.394233391785225,"medium, 6, 0",ask_easy
-24.66747886508106,"easy, 5, 0",ask_medium
