Q_Value,State,Action
29.85808330433704,"easy, 0, 0",ask_easy
29.83922740248395,"easy, 1, 0",ask_easy
25.218264492024495,"easy, 2, 0",ask_easy
24.58422694882586,"easy, 1, 1",ask_easy
24.130424087373992,"easy, 4, 0",ask_medium
22.557136455868147,"easy, 0, 1",ask_easy
21.24190662477637,"easy, 2, 1",ask_easy
18.322627773863832,"medium, 4, 0",ask_medium
17.478268089960785,"easy, 4, 1",ask_medium
17.28942616439498,"medium, 4, 1",ask_medium
16.129507234938295,"hard, 6, 0",end_game
4.4605417522651365,"easy, 1, 2",ask_easy
4.037841104358355,"easy, 4, 1",ask_hard
3.8513818590364624,"easy, 4, 0",ask_hard
2.302143617968052,"easy, 3, 1",ask_easy
2.1894667027624193,"hard, 6, 1",end_game
1.6726842098737202,"medium, 5, 0",ask_hard
0.9490106684015188,"medium, 4, 1",ask_hard
0.09274918437302926,"easy, 3, 0",ask_easy
-0.1053451256073139,"hard, 6, 2",end_game
-0.37171326427801943,"easy, 5, 0",ask_hard
-0.5417467258702607,"medium, 4, 0",ask_hard
-0.7867345917227611,"easy, 3, 2",ask_medium
-1.3535679832371101,"easy, 3, 1",ask_medium
-1.3785949736649032,"easy, 5, 1",ask_hard
-1.8628500716392224,"easy, 3, 0",ask_medium
-2.0866688,"easy, 5, 0",end_game
-2.321306173207599,"easy, 5, 0",ask_medium
-3.1044562630077714,"hard, 5, 1",ask_medium
-3.403218198465342,"medium, 4, 0",end_game
-3.66492916731531,"easy, 5, 0",ask_easy
-3.675713156064763,"easy, 4, 2",ask_medium
-3.750730939088205,"hard, 5, 0",ask_medium
-3.7566875805434217,"hard, 5, 0",ask_hard
-3.894077260746669,"hard, 6, 0",ask_medium
-4.1688,"easy, 6, 0",ask_easy
-4.887721360902697,"easy, 0, 2",ask_easy
-5.329936297730934,"hard, 5, 1",ask_hard
-5.374991294746161,"hard, 5, 0",end_game
-5.490828116369267,"medium, 4, 2",ask_medium
-5.9924702287554314,"medium, 4, 0",ask_easy
-6.084704,"easy, 6, 0",ask_medium
-6.44460003739843,"medium, 4, 2",ask_hard
-7.119574727939602,"easy, 4, 2",ask_hard
-7.5399038180300355,"hard, 5, 0",ask_easy
-7.6,"easy, 6, 0",ask_hard
-7.6,"hard, 6, 0",ask_easy
-8.151924102771744,"easy, 5, 1",ask_medium
-8.534884505600001,"easy, 6, 0",end_game
-9.157033179752721,"easy, 0, 0",ask_medium
-9.281348277149515,"easy, 0, 0",ask_hard
-9.56416000955481,"hard, 5, 1",ask_easy
-9.868378175052714,"easy, 0, 0",end_game
-9.91972801123086,"easy, 1, 0",ask_hard
-9.946949528240195,"easy, 1, 0",ask_medium
-10.111795427484154,"easy, 1, 0",end_game
-10.445832360272187,"easy, 2, 2",ask_easy
-10.4576104,"easy, 5, 2",end_game
-11.380057436707473,"medium, 5, 0",ask_medium
-11.43528688,"easy, 5, 2",ask_easy
-12.472962840000003,"easy, 5, 1",ask_easy
-12.633530781988858,"hard, 6, 0",ask_hard
